Tue Jan 01 17:29:01 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:03 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:05 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:06 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:08 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:10 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:11 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:13 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:14 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:16 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:17 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:29:22 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:00 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:02 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:03 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:05 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:06 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:08 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:10 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:11 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:13 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:13 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:14 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:18 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:19 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:30:40 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Tue Jan 01 17:31:03 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:03 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:03 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:03 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:06 Loaded file C:\PROJECTS\ORCAD\ZZL.LLB
Tue Jan 01 17:31:07 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:10 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:11 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:19 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:19 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:19 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:19 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:20 Loaded file C:\PROJECTS\ORCAD\ZZL.LLB
Tue Jan 01 17:31:22 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:31:23 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:34:51 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Tue Jan 01 17:34:51 Saved as file BACKUP1.MAX
Tue Jan 01 17:34:51 Saved as file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Tue Jan 01 17:34:52 UserDiv from Layout.INI for AutoECO: 60
Tue Jan 01 17:34:52 Loaded file C:\PROJECTS\ORCAD\SWITCH\SWITCH.MAX
Tue Jan 01 17:34:52 Loaded file C:\PROJECTS\ORCAD\ZZL.LLB
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\BCON100T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\BCON156T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\BGA.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\CLCC.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DCON050T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DCON085T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DIMM050F.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DIMM050T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DIN.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DIP100B.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DIP100T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DSUBT.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\DSUBT_HD.LLB
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\ECON100T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\FBUS.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\ISA.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\JUMPER.LLB
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\LAYOUT.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\LCON100T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PC104.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PCI.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PCON100T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PCON156T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PGA.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\PLCC.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\QUAD.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\QUADB.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\RELAY.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\RF.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SBUS.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIMM050F.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIMM050T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIMM100F.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIMM100T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SIP.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SM.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SOG.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SOJ.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\STIFF.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TELE.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TM_AXIAL.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TM_CAP_P.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TM_CYLND.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TM_DIODE.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TM_DISC.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TM_RAD.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TO.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\TRAINING.LLB
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\VRES.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\WCON100T.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\XT.llb
Tue Jan 01 17:34:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\ZIGZAG.llb
